   FEM        Exact
  0.99611683   0.99607809
  0.99603899   0.99599953
  0.99595973   0.99591956
  0.99587903   0.99583813
  0.99579687   0.99575523
  0.99571323   0.99567084
  0.99562808   0.99558493
  0.99554140   0.99549748
  0.99545317   0.99540846
  0.99536335   0.99531785
  0.99527194   0.99522562
  0.99517889   0.99513175
  0.99508420   0.99503622
  0.99498782   0.99493900
  0.99488974   0.99484005
  0.99478993   0.99473936
  0.99468835   0.99463690
  0.99458500   0.99453264
  0.99447983   0.99442656
  0.99437282   0.99431862
  0.99426394   0.99420880
  0.99415317   0.99409706
  0.99404047   0.99398339
  0.99392582   0.99386775
  0.99380919   0.99375012
  0.99369054   0.99363045
  0.99356985   0.99350873
  0.99344709   0.99338492
  0.99332222   0.99325899
  0.99319522   0.99313091
  0.99306605   0.99300065
  0.99293469   0.99286817
  0.99280109   0.99273344
  0.99266523   0.99259644
  0.99252707   0.99245713
  0.99238659   0.99231546
  0.99224374   0.99217142
  0.99209850   0.99202497
  0.99195082   0.99187606
  0.99180068   0.99172467
  0.99164804   0.99157077
  0.99149286   0.99141430
  0.99133510   0.99125525
  0.99117474   0.99109357
  0.99101173   0.99092922
  0.99084604   0.99076217
  0.99067762   0.99059238
  0.99050645   0.99041982
  0.99033248   0.99024443
  0.99015567   0.99006619
  0.98997599   0.98988506
  0.98979339   0.98970099
  0.98960784   0.98951394
  0.98941929   0.98932388
  0.98922771   0.98913076
  0.98903305   0.98893455
  0.98883526   0.98873519
  0.98863432   0.98853265
  0.98843017   0.98832688
  0.98822278   0.98811785
  0.98801209   0.98790550
  0.98779807   0.98768979
  0.98758067   0.98747069
  0.98735985   0.98724814
  0.98713555   0.98702209
  0.98690775   0.98679251
  0.98667638   0.98655935
  0.98644141   0.98632256
  0.98620278   0.98608208
  0.98596046   0.98583789
  0.98571438   0.98558992
  0.98546451   0.98533813
  0.98521079   0.98508247
  0.98495317   0.98482289
  0.98469161   0.98455934
  0.98442606   0.98429177
  0.98415646   0.98402013
  0.98388277   0.98374437
  0.98360493   0.98346444
  0.98332289   0.98318028
  0.98303660   0.98289184
  0.98274600   0.98259907
  0.98245105   0.98230192
  0.98215169   0.98200033
  0.98184786   0.98169425
  0.98153951   0.98138363
  0.98122659   0.98106840
  0.98090904   0.98074851
  0.98058680   0.98042391
  0.98025982   0.98009453
  0.97992804   0.97976033
  0.97959140   0.97942125
  0.97924985   0.97907722
  0.97890333   0.97872819
  0.97855178   0.97837410
  0.97819514   0.97801489
  0.97783334   0.97765050
  0.97746634   0.97728087
  0.97709407   0.97690594
  0.97671647   0.97652565
  0.97633347   0.97613993
  0.97594502   0.97574873
  0.97555105   0.97535198
  0.97515151   0.97494962
  0.97474632   0.97454159
  0.97433543   0.97412782
  0.97391876   0.97370825
  0.97349626   0.97328280
  0.97306786   0.97285143
  0.97263350   0.97241406
  0.97219310   0.97197063
  0.97174661   0.97152106
  0.97129396   0.97106530
  0.97083507   0.97060327
  0.97036988   0.97013491
  0.96989833   0.96966015
  0.96942034   0.96917891
  0.96893585   0.96869114
  0.96844479   0.96819677
  0.96794708   0.96769571
  0.96744265   0.96718790
  0.96693145   0.96667328
  0.96641339   0.96615176
  0.96588840   0.96562329
  0.96535641   0.96508777
  0.96481736   0.96454516
  0.96427116   0.96399536
  0.96371774   0.96343831
  0.96315704   0.96287393
  0.96258897   0.96230215
  0.96201347   0.96172290
  0.96143045   0.96113610
  0.96083984   0.96054167
  0.96024157   0.95993954
  0.95963557   0.95932964
  0.95902175   0.95871188
  0.95840004   0.95808620
  0.95777036   0.95745251
  0.95713264   0.95681073
  0.95648679   0.95616080
  0.95583274   0.95550262
  0.95517042   0.95483613
  0.95449974   0.95416124
  0.95382062   0.95347787
  0.95313298   0.95278595
  0.95243676   0.95208539
  0.95173185   0.95137612
  0.95101819   0.95065806
  0.95029570   0.94993111
